FECHA_CORTE;ANIO;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;CLASIFICACION_MUNICIPAL_MEF;TIPO_MUNICIPALIDAD;POBLACION;CUENTA_CON_PME;ANIO_INICIO_PME;ANIO_ACTUALIZACION_PME;ORDENANZA_APRUEBA_PME;FECHA_APROBACION_NORMATIVA_PME;CUENTA_PLAN_TRABAJO;TIPO_NORMATIVA_APRUEBA_PT;NUM_NORMATIVA_APRUEBA_PT;FECHA_APRUEBA_NORMATIVA_PT;FORMACION_PAEs;ESPACIOS_PUBLICOS;CAMPAÑAS_EVENTOS;FORMACION_PAJ;FORMACION_PAC;GASTO_PUBLICO_PROGRAMADO_PT;ESTADO_SEMAFORO
20240422;2023;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;A;Provincial;29111;Si;2017;2023;262-MPCH;20230613;Si;Resolución de alcaldía;436-2023-MPCH;20230920;Si;Si;Si;Si;Si;6660.00;Cuenta con PME y con PT 
20240422;2023;010102;AMAZONAS;CHACHAPOYAS;ASUNCION;F;Distrital;287;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010103;AMAZONAS;CHACHAPOYAS;BALSAS;G;Distrital;1641;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010104;AMAZONAS;CHACHAPOYAS;CHETO;F;Distrital;590;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;G;Distrital;686;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;G;Distrital;2060;Si;2023;2023;033-2023-MDCH/RA;20230627;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;Cuenta con PME, pero no con PT 
20240422;2023;010107;AMAZONAS;CHACHAPOYAS;GRANADA;F;Distrital;378;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010108;AMAZONAS;CHACHAPOYAS;HUANCAS;E;Distrital;1326;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010109;AMAZONAS;CHACHAPOYAS;LA JALCA;F;Distrital;5502;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;E;Distrital;4197;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010111;AMAZONAS;CHACHAPOYAS;LEVANTO;F;Distrital;860;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010112;AMAZONAS;CHACHAPOYAS;MAGDALENA;E;Distrital;780;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;E;Distrital;984;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;G;Distrital;2744;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;E;Distrital;571;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010116;AMAZONAS;CHACHAPOYAS;OLLEROS;F;Distrital;362;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
20240422;2023;010117;AMAZONAS;CHACHAPOYAS;QUINJALCA;G;Distrital;828;No;NC;NC;NC;NC;No;NC;NC;NC;NC;NC;NC;NC;NC;NC;No cuenta con PME
